2010-07-02 22:54:09 Debug: Notice (8): Undefined property: UsersController::$Comment in [C:\xampp\htdocs\cakecore\app\controllers\users_controller.php, line 90]
2010-07-02 22:55:42 Debug: Notice (8): Undefined variable: xml in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 140]
2010-07-02 23:00:28 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 148]
2010-07-02 23:15:46 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:15:46 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:17:02 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:17:02 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:18:21 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:18:21 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:19:21 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:19:21 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:19:23 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:19:23 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:19:52 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:19:52 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:21:25 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:21:25 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:28:25 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:28:25 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-02 23:30:11 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-02 23:30:11 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-04 15:19:17 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 122]
2010-07-04 15:19:17 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-05 08:12:04 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 147]
2010-07-05 08:16:32 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 147]
2010-07-05 08:16:57 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 147]
2010-07-05 08:20:55 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 147]
2010-07-05 08:20:57 Debug: Notice (8): Undefined index: created in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 147]
